Longitude,Latitude,Mean,100,250,500,700,850,1000
41.5,59.5,0.0,0.189,0.352,0.462,0.826,1.308,1.344
42.0,59.0,0.0,1.037,1.911,2.477,4.368,6.842,6.68
42.5,58.5,0.0,0.183,0.34,0.44,0.782,1.239,1.278
43.0,58.0,0.0,0.056,0.105,0.14,0.255,0.406,0.466
43.5,58.0,0.0,0.06,0.118,0.272,0.547,0.859,0.899
43.5,60.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
44.0,57.5,0.0,0.643,1.206,1.616,2.839,4.441,4.354
44.0,59.5,0.0,0.019,0.034,0.048,0.093,0.151,0.219
44.5,57.0,0.0,0.089,0.175,0.323,0.595,0.94,0.983
44.5,59.0,0.0,0.023,0.041,0.055,0.101,0.162,0.229
45.0,56.5,0.0,0.113,0.212,0.211,0.28,0.421,0.462
45.0,59.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
45.0,60.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
45.5,56.0,0.0,0.039,0.073,0.092,0.161,0.256,0.319
45.5,58.5,0.0,0.034,0.062,0.08,0.143,0.229,0.293
45.5,60.0,0.0,0.028,0.051,0.068,0.124,0.2,0.265
46.0,56.0,0.0,0.175,0.327,0.363,0.425,0.604,0.607
46.0,58.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
46.0,60.0,0.0,0.056,0.105,0.131,0.227,0.358,0.418
46.5,55.5,0.0,0.035,0.064,0.083,0.149,0.238,0.302
46.5,57.5,0.0,0.146,0.268,0.238,0.198,0.269,0.299
46.5,59.5,0.0,0.056,0.105,0.136,0.244,0.389,0.449
46.5,61.0,0.0,0.026,0.047,0.062,0.112,0.18,0.246
47.0,55.0,0.0,0.126,0.23,0.098,0.0,0.0,0.069
47.0,57.0,0.0,0.156,0.288,0.348,0.577,0.906,0.946
47.0,59.0,0.0,0.034,0.063,0.08,0.142,0.226,0.29
47.0,60.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
47.5,54.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
47.5,54.5,0.0,0.076,0.142,0.158,0.242,0.374,0.426
47.5,57.0,0.0,0.143,0.264,0.262,0.267,0.365,0.382
47.5,58.5,0.0,0.164,0.303,0.322,0.385,0.543,0.549
47.5,60.0,0.0,0.028,0.05,0.067,0.122,0.195,0.261
48.0,54.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
48.0,56.5,0.0,0.166,0.305,0.359,0.645,1.046,1.106
48.0,58.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
48.0,60.0,0.0,0.044,0.081,0.108,0.199,0.318,0.381
48.0,61.5,0.0,0.044,0.082,0.111,0.204,0.327,0.391
48.5,53.5,0.0,0.114,0.21,0.176,0.21,0.314,0.362
48.5,55.5,0.0,0.147,0.27,0.293,0.356,0.506,0.519
48.5,56.0,0.0,0.116,0.212,0.171,0.201,0.304,0.353
48.5,57.5,0.0,0.042,0.077,0.093,0.157,0.248,0.311
48.5,59.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
48.5,61.0,0.0,0.02,0.037,0.048,0.088,0.142,0.209
49.0,53.0,0.0,0.065,0.12,0.125,0.18,0.277,0.333
49.0,55.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
49.0,57.5,0.0,0.122,0.225,0.224,0.262,0.379,0.412
49.0,59.0,0.0,0.128,0.234,0.201,0.231,0.347,0.392
49.0,60.5,0.0,0.012,0.02,0.025,0.043,0.07,0.139
49.0,62.0,0.0,0.066,0.124,0.164,0.302,0.482,0.541
49.5,52.5,0.0,0.031,0.057,0.075,0.136,0.217,0.283
49.5,55.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
49.5,57.0,0.0,0.076,0.139,0.138,0.203,0.316,0.372
49.5,58.5,0.0,0.15,0.277,0.286,0.336,0.481,0.501
49.5,60.0,0.0,0.067,0.123,0.119,0.171,0.265,0.323
49.5,61.5,0.0,0.036,0.066,0.087,0.159,0.255,0.32
50.0,51.5,0.0,0.119,0.22,0.179,0.206,0.308,0.356
50.0,52.0,0.0,0.031,0.057,0.075,0.136,0.217,0.283
50.0,54.5,0.0,0.178,0.326,0.244,0.0,0.0,0.068
50.0,56.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
50.0,58.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
50.0,60.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
50.0,61.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
50.5,51.5,0.0,0.16,0.303,0.407,0.654,1.009,1.031
50.5,54.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
