Longitude,Latitude,Mean,100,250,500,700,850,1000
46.5,62.0,0.0,0.054,0.11,0.279,0.562,0.89,0.936
47.0,61.5,0.0,0.557,1.058,1.299,2.093,3.199,3.1
47.5,61.5,0.0,0.146,0.285,0.409,0.742,1.175,1.214
48.5,61.0,0.0,0.032,0.059,0.078,0.14,0.225,0.289
48.5,63.0,0.0,0.081,0.155,0.236,0.449,0.711,0.681
49.0,60.5,0.0,0.076,0.138,0.082,0.032,0.027,0.077
49.0,62.5,0.0,0.103,0.194,0.246,0.408,0.633,0.675
49.5,60.0,0.0,0.113,0.206,0.15,0.134,0.187,0.232
49.5,62.0,0.0,0.03,0.055,0.073,0.133,0.213,0.278
50.0,60.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
50.0,63.5,0.0,0.019,0.033,0.044,0.083,0.137,0.206
50.5,59.5,0.0,0.108,0.226,0.371,0.644,1.012,0.923
50.5,61.5,0.0,0.018,0.033,0.045,0.089,0.146,0.215
51.0,59.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
51.0,61.5,0.0,0.135,0.266,0.379,0.651,1.023,1.059
51.0,63.0,0.0,0.151,0.298,0.459,0.883,1.413,1.458
51.5,61.0,0.0,0.035,0.065,0.084,0.149,0.238,0.302
51.5,62.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
52.0,58.5,0.0,0.214,0.397,0.319,0.102,0.058,0.103
52.0,60.5,0.0,0.014,0.024,0.028,0.05,0.085,0.171
52.0,62.5,0.0,0.062,0.12,0.254,0.533,0.854,0.908
52.0,64.0,0.0,0.076,0.149,0.312,0.647,1.045,0.968
52.5,58.5,0.0,0.146,0.271,0.343,0.595,0.94,0.867
52.5,60.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
52.5,62.0,0.0,0.024,0.043,0.058,0.109,0.177,0.244
52.5,63.5,0.0,0.174,0.324,0.434,0.773,1.221,1.256
53.0,58.0,0.0,0.051,0.095,0.122,0.212,0.335,0.373
53.0,60.0,0.0,0.08,0.151,0.226,0.429,0.681,0.733
53.0,63.0,0.0,0.203,0.381,0.532,0.989,1.571,1.603
53.0,64.5,0.0,0.149,0.279,0.396,0.746,1.19,1.235
53.5,57.5,0.0,0.112,0.228,0.442,0.843,1.341,1.201
53.5,59.5,0.0,0.122,0.25,0.518,1.016,1.622,1.435
53.5,61.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
53.5,63.0,0.0,0.049,0.123,0.351,0.616,0.964,0.881
