Longitude,Latitude,Mean,100,250,500,700,850,1000
30.5,62.0,0.0,0.0,0.015,0.431,0.976,1.545,1.364
30.5,62.5,0.0,0.039,0.071,0.093,0.165,0.262,0.314
30.5,63.0,0.0,0.104,0.211,0.404,0.735,1.155,1.039
30.5,63.5,0.0,0.126,0.26,0.442,0.857,1.377,1.239
30.5,64.0,0.0,0.111,0.206,0.214,0.296,0.441,0.444
30.5,64.5,0.0,0.079,0.144,0.139,0.172,0.249,0.29
30.5,65.0,0.0,0.036,0.066,0.087,0.156,0.249,0.305
30.5,65.5,0.0,0.069,0.149,0.423,0.819,1.288,1.149
31.0,65.5,0.0,0.005,0.025,0.368,0.768,1.181,1.045
31.0,66.0,0.0,0.101,0.192,0.256,0.451,0.705,0.671
31.0,66.5,0.0,0.354,0.7,1.013,1.82,2.841,2.4
31.0,67.0,0.0,0.415,0.791,1.084,1.935,3.022,2.128
31.0,67.5,0.0,0.123,0.232,0.273,0.419,0.633,0.538
31.0,68.0,0.0,0.359,0.683,0.912,1.514,2.265,1.585
31.0,68.5,0.0,0.164,0.305,0.339,0.39,0.534,0.449
31.0,69.0,0.0,0.394,0.749,1.014,1.638,2.381,1.628
31.0,69.5,0.0,0.136,0.253,0.293,0.376,0.533,0.457
31.0,70.0,0.0,0.328,0.624,0.925,1.777,2.817,2.407
31.0,70.5,0.0,0.268,0.537,0.943,1.821,2.872,2.44
31.0,71.0,0.0,0.36,0.718,1.141,2.206,3.49,2.952
33.0,62.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
33.0,62.5,0.0,0.0,0.003,0.429,0.94,1.483,1.313
33.0,63.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
33.5,63.5,0.0,0.0,0.002,0.202,0.51,0.82,0.777
33.5,64.0,0.0,0.02,0.037,0.049,0.088,0.143,0.218
33.5,64.5,0.0,0.053,0.098,0.129,0.236,0.376,0.409
33.5,65.0,0.0,0.0,0.0,0.182,0.408,0.653,0.639
33.5,65.5,0.0,0.057,0.112,0.238,0.507,0.823,0.785
34.0,66.0,0.0,0.115,0.213,0.23,0.339,0.51,0.501
34.0,66.5,0.0,0.018,0.033,0.043,0.079,0.128,0.207
34.0,67.0,0.0,0.023,0.049,0.195,0.415,0.627,0.595
34.0,67.5,0.0,0.027,0.048,0.063,0.114,0.183,0.251
34.0,68.0,0.0,0.084,0.155,0.146,0.172,0.246,0.28
34.5,68.5,0.0,0.031,0.057,0.075,0.136,0.218,0.274
34.5,69.0,0.0,0.042,0.077,0.106,0.198,0.317,0.361
34.5,69.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
34.5,70.0,0.0,0.293,0.556,0.661,0.879,1.243,1.031
34.5,70.5,0.0,0.124,0.234,0.226,0.241,0.323,0.33
35.0,62.0,0.0,0.026,0.047,0.061,0.108,0.173,0.239
35.0,71.0,0.0,0.399,0.763,1.178,2.288,3.664,3.123
35.5,62.5,0.0,0.044,0.091,0.286,0.656,1.059,1.115
35.5,63.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
35.5,63.5,0.0,0.017,0.043,0.212,0.487,0.781,0.745
35.5,64.0,0.0,0.128,0.233,0.294,0.531,0.845,0.795
36.0,64.5,0.0,0.104,0.191,0.245,0.433,0.685,0.664
36.0,65.0,0.0,0.252,0.464,0.521,0.802,1.224,1.075
36.0,65.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
36.5,66.0,0.0,0.131,0.24,0.296,0.508,0.776,0.719
36.5,66.5,0.0,0.046,0.085,0.103,0.176,0.277,0.326
36.5,67.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
37.0,62.0,0.0,0.09,0.161,0.096,0.005,0.0,0.099
37.0,62.5,0.0,0.157,0.288,0.39,0.75,1.206,1.097
37.0,67.5,0.0,0.031,0.057,0.075,0.136,0.218,0.274
37.0,68.0,0.0,0.148,0.292,0.435,0.823,1.314,1.011
37.0,68.5,0.0,0.027,0.049,0.065,0.12,0.193,0.258
37.5,63.0,0.0,0.039,0.077,0.193,0.417,0.668,0.651
37.5,63.5,0.0,0.162,0.297,0.371,0.661,1.052,0.964
37.5,69.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
37.5,69.5,0.0,0.046,0.089,0.173,0.37,0.584,0.565
37.5,70.0,0.0,0.028,0.052,0.068,0.124,0.199,0.264
38.0,64.0,0.0,0.064,0.16,0.464,0.95,1.521,1.356
38.0,64.5,0.0,0.06,0.109,0.123,0.199,0.312,0.352
38.0,65.0,0.0,0.024,0.044,0.06,0.112,0.18,0.249
38.0,70.5,0.0,0.012,0.022,0.031,0.057,0.093,0.177
38.0,71.0,0.0,0.05,0.096,0.25,0.627,1.026,0.959
38.5,62.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
38.5,65.5,0.0,0.145,0.268,0.344,0.615,0.977,0.901
38.5,66.0,0.0,0.106,0.204,0.321,0.596,0.949,0.879
38.5,66.5,0.0,0.034,0.082,0.298,0.567,0.893,0.828
39.0,62.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
39.0,62.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
39.0,63.0,0.0,0.021,0.047,0.269,0.66,1.063,0.98
39.0,67.0,0.0,0.253,0.472,0.613,1.082,1.701,1.26
39.0,67.5,0.0,0.192,0.354,0.424,0.672,1.024,0.787
39.5,63.5,0.0,0.182,0.381,0.628,1.226,1.964,1.721
39.5,64.0,0.0,0.074,0.136,0.169,0.293,0.461,0.475
39.5,68.0,0.0,0.04,0.087,0.298,0.611,0.974,0.903
39.5,68.5,0.0,0.103,0.258,0.473,0.786,1.223,1.089
39.5,69.0,0.0,0.069,0.166,0.49,0.983,1.577,1.403
40.0,61.5,0.0,0.07,0.127,0.114,0.13,0.183,0.237
40.0,64.5,0.0,0.15,0.328,0.601,1.181,1.89,1.659
40.0,65.0,0.0,0.015,0.059,0.474,0.979,1.544,1.361
40.0,65.5,0.0,0.171,0.367,0.517,0.85,1.318,1.162
40.0,69.5,0.0,0.031,0.056,0.074,0.135,0.217,0.278
40.0,70.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
40.5,62.0,0.0,0.013,0.023,0.032,0.058,0.096,0.18
40.5,62.5,0.0,0.032,0.063,0.175,0.454,0.738,0.706
40.5,63.0,0.0,0.172,0.339,0.502,0.947,1.513,1.346
40.5,66.0,0.0,0.241,0.449,0.6,1.087,1.719,1.506
40.5,66.5,0.0,0.159,0.294,0.366,0.624,0.981,0.899
40.5,70.0,0.0,0.109,0.205,0.257,0.43,0.668,0.639
40.5,70.5,0.0,0.001,0.019,0.398,0.839,1.314,1.166
41.0,63.5,0.0,0.113,0.226,0.42,0.795,1.266,1.14
41.0,64.0,0.0,0.045,0.082,0.108,0.195,0.311,0.355
41.0,67.0,0.0,0.026,0.091,0.504,0.975,1.526,1.339
41.0,67.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
41.5,61.5,0.0,0.187,0.376,0.58,1.134,1.818,1.601
41.5,62.0,0.0,0.156,0.306,0.453,0.873,1.4,1.257
41.5,64.5,0.0,0.0,0.0,0.186,0.408,0.653,0.639
41.5,65.0,0.0,0.105,0.196,0.226,0.361,0.557,0.547
41.5,68.0,0.0,0.113,0.209,0.216,0.313,0.476,0.478
41.5,68.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
42.0,62.5,0.0,0.07,0.13,0.176,0.327,0.522,0.529
42.0,63.0,0.0,0.071,0.137,0.263,0.538,0.863,0.813
42.0,65.5,0.0,0.086,0.16,0.196,0.331,0.516,0.518
42.0,66.0,0.0,0.036,0.066,0.087,0.157,0.25,0.305
42.0,68.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
42.0,69.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
42.5,61.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
42.5,63.5,0.0,0.157,0.29,0.336,0.54,0.797,0.707
