Longitude,Latitude,Mean,100,250,500,700,850,1000
36.5,51.0,0.0,0.031,0.057,0.075,0.136,0.217,0.283
37.0,50.5,0.0,0.174,0.319,0.175,0.0,0.0,0.068
37.5,49.5,0.0,0.027,0.049,0.066,0.121,0.196,0.262
37.5,50.0,0.0,0.031,0.057,0.075,0.136,0.217,0.282
38.0,49.0,0.0,0.076,0.173,0.412,0.73,1.142,1.17
38.5,48.5,0.0,0.079,0.157,0.25,0.429,0.671,0.716
38.5,51.0,0.0,0.118,0.224,0.274,0.434,0.668,0.705
38.5,51.5,0.0,0.144,0.269,0.306,0.455,0.69,0.718
39.0,48.0,0.0,0.124,0.247,0.354,0.596,0.935,0.974
39.0,50.5,0.0,0.12,0.239,0.382,0.656,1.028,1.062
39.5,49.5,0.0,0.161,0.298,0.223,0.018,0.0,0.069
39.5,50.0,0.0,0.043,0.095,0.3,0.554,0.868,0.908
40.0,49.0,0.0,1.604,3.003,3.296,4.681,6.745,5.657
40.0,51.5,0.0,0.129,0.238,0.246,0.322,0.48,0.514
40.0,52.0,0.0,0.008,0.05,0.446,0.816,1.256,1.265
40.5,48.5,0.0,1.257,2.369,3.05,4.967,7.601,7.277
40.5,49.0,0.0,0.214,0.4,0.378,0.174,0.113,0.081
40.5,51.0,0.0,0.031,0.057,0.075,0.136,0.217,0.283
41.0,50.0,0.0,0.171,0.318,0.412,0.72,1.136,1.172
41.0,50.5,0.0,0.101,0.192,0.258,0.449,0.7,0.742
41.0,52.0,0.0,0.031,0.057,0.075,0.136,0.217,0.283
41.5,49.5,0.0,0.155,0.289,0.362,0.621,0.978,1.018
41.5,51.5,0.0,0.066,0.122,0.136,0.206,0.319,0.374
42.0,48.5,0.0,0.093,0.202,0.486,0.885,1.384,1.404
42.0,49.0,0.0,0.087,0.17,0.297,0.558,0.881,0.924
42.0,51.0,0.0,0.031,0.057,0.075,0.136,0.217,0.282
42.0,51.5,0.0,0.084,0.156,0.161,0.231,0.356,0.407
42.5,50.0,0.0,0.038,0.071,0.088,0.153,0.243,0.305
42.5,50.5,0.0,0.031,0.057,0.075,0.136,0.217,0.282
42.5,52.0,0.0,0.134,0.246,0.229,0.267,0.396,0.434
