Longitude,Latitude,Mean,100,250,500,700,850,1000
40.5,52.5,0.0,0.347,0.662,0.922,1.683,2.651,2.642
40.5,53.0,0.0,0.731,1.371,1.837,3.279,5.105,4.469
40.5,53.5,0.0,0.407,0.774,0.987,1.587,2.293,2.142
40.5,54.0,0.0,0.154,0.285,0.266,0.29,0.411,0.434
40.5,54.5,0.0,0.495,0.952,1.07,0.998,1.198,0.97
40.5,55.0,0.0,0.14,0.26,0.225,0.229,0.319,0.347
41.0,55.5,0.0,0.381,0.722,0.789,0.98,1.396,1.317
41.0,56.0,0.0,0.367,0.694,0.578,0.449,0.585,0.55
41.0,56.5,0.0,0.325,0.614,0.724,1.083,1.62,1.578
41.0,57.0,0.0,0.346,0.655,0.85,1.48,2.311,2.295
41.0,57.5,0.0,0.607,1.159,1.534,2.712,4.224,4.131
41.0,58.0,0.0,0.204,0.373,0.16,0.0,0.0,0.069
41.0,58.5,0.0,0.393,0.736,0.949,1.237,1.583,1.273
41.0,59.0,0.0,0.027,0.048,0.063,0.114,0.184,0.25
41.5,59.5,0.0,0.109,0.2,0.092,0.0,0.0,0.099
41.5,60.0,0.0,0.064,0.137,0.438,1.053,1.741,1.57
41.5,60.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
41.5,61.0,0.0,0.042,0.093,0.368,0.789,1.272,1.154
41.5,61.5,0.0,0.161,0.297,0.375,0.667,1.064,1.111
41.5,62.0,0.0,0.215,0.404,0.504,0.896,1.445,1.504
41.5,62.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
41.5,63.0,0.0,0.178,0.328,0.281,0.277,0.4,0.431
41.5,63.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
41.5,64.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
41.5,64.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
42.0,65.0,0.0,0.056,0.103,0.106,0.161,0.252,0.313
42.0,65.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
42.0,66.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
42.0,66.5,0.0,0.028,0.05,0.067,0.123,0.197,0.262
42.0,67.0,0.0,0.17,0.316,0.4,0.704,1.118,1.161
42.0,67.5,0.0,0.098,0.181,0.101,0.003,0.0,0.069
42.0,68.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
42.0,68.5,0.0,0.027,0.049,0.065,0.119,0.191,0.257
42.0,69.0,0.0,0.067,0.126,0.153,0.251,0.391,0.445
42.0,69.5,0.0,0.903,1.664,2.357,4.472,7.186,7.151
42.0,70.0,0.0,0.507,0.974,1.303,2.243,3.478,3.402
42.0,70.5,0.0,0.069,0.131,0.208,0.425,0.687,0.747
42.0,71.0,0.0,0.016,0.029,0.038,0.07,0.114,0.183
42.5,52.5,0.0,0.101,0.185,0.125,0.057,0.051,0.089
42.5,53.0,0.0,0.168,0.312,0.41,0.732,1.161,1.19
42.5,53.5,0.0,0.456,0.872,1.131,1.832,2.622,2.419
42.5,54.0,0.0,0.009,0.015,0.02,0.035,0.059,0.13
43.0,54.5,0.0,0.101,0.192,0.217,0.324,0.494,0.536
43.0,55.0,0.0,0.0,0.0,0.249,0.932,1.662,1.836
43.0,55.5,0.0,0.351,0.682,0.998,1.886,2.985,2.976
43.0,56.0,0.0,0.039,0.072,0.094,0.168,0.267,0.33
43.0,56.5,0.0,0.423,0.808,1.106,1.991,3.125,3.093
43.0,57.0,0.0,0.043,0.08,0.103,0.182,0.289,0.351
43.5,57.5,0.0,0.109,0.199,0.126,0.055,0.051,0.09
43.5,58.0,0.0,0.084,0.155,0.203,0.355,0.557,0.607
43.5,58.5,0.0,0.023,0.041,0.056,0.104,0.168,0.235
43.5,59.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
43.5,59.5,0.0,0.023,0.06,0.389,0.869,1.403,1.458
44.0,52.5,0.0,0.032,0.058,0.077,0.14,0.225,0.289
44.0,53.0,0.0,0.094,0.174,0.129,0.074,0.075,0.136
44.0,60.0,0.0,0.029,0.052,0.068,0.123,0.197,0.262
44.0,60.5,0.0,0.074,0.137,0.136,0.201,0.313,0.369
44.0,61.0,0.0,0.147,0.27,0.195,0.163,0.233,0.278
