Longitude,Latitude,Mean,100,250,500,700,850,1000
43.0,61.5,0.0,4.303,0.372,0.149,0.096,0.075,0.057
43.5,61.0,0.0,4.367,0.374,0.149,0.096,0.075,0.057
44.0,60.5,0.0,4.373,0.374,0.149,0.096,0.075,0.057
44.5,60.5,0.0,4.338,0.373,0.149,0.096,0.075,0.057
45.0,60.0,0.0,3.833,0.359,0.145,0.095,0.074,0.057
45.0,62.0,0.0,4.418,0.376,0.15,0.096,0.075,0.057
45.5,62.0,0.0,4.36,0.374,0.149,0.096,0.075,0.057
46.0,59.5,0.0,3.884,0.36,0.145,0.094,0.074,0.056
46.0,61.5,0.0,3.978,0.363,0.147,0.095,0.074,0.057
46.5,59.0,0.0,3.334,0.342,0.142,0.093,0.073,0.056
46.5,61.0,0.0,4.337,0.374,0.149,0.096,0.075,0.057
46.5,63.0,0.0,3.754,0.356,0.145,0.094,0.074,0.056
47.0,59.0,0.0,4.047,0.365,0.147,0.095,0.074,0.057
47.0,60.5,0.0,4.345,0.374,0.149,0.096,0.075,0.057
47.0,62.5,0.0,3.823,0.359,0.145,0.094,0.074,0.057
47.5,58.5,0.0,3.831,0.359,0.145,0.094,0.074,0.056
48.0,58.0,0.0,3.805,0.358,0.145,0.094,0.074,0.057
48.0,60.5,0.0,3.557,0.35,0.143,0.094,0.074,0.056
48.0,62.0,0.0,3.848,0.359,0.145,0.094,0.074,0.056
48.0,63.5,0.0,3.501,0.348,0.143,0.094,0.074,0.056
48.5,57.5,0.0,4.081,0.367,0.147,0.095,0.075,0.057
48.5,60.0,0.0,3.609,0.352,0.144,0.094,0.074,0.056
48.5,61.5,0.0,4.008,0.364,0.146,0.094,0.074,0.056
48.5,63.0,0.0,3.862,0.36,0.146,0.095,0.074,0.057
49.0,57.5,0.0,3.835,0.359,0.145,0.094,0.074,0.057
49.0,59.5,0.0,3.772,0.357,0.145,0.094,0.074,0.056
49.0,61.0,0.0,4.17,0.367,0.146,0.094,0.073,0.056
49.5,57.0,0.0,3.585,0.351,0.144,0.094,0.074,0.056
49.5,59.0,0.0,3.045,0.335,0.143,0.098,0.078,0.059
49.5,61.0,0.0,3.437,0.346,0.143,0.094,0.074,0.056
49.5,62.5,0.0,3.714,0.355,0.145,0.094,0.074,0.056
49.5,63.5,0.0,3.938,0.362,0.146,0.095,0.074,0.057
50.0,56.5,0.0,4.036,0.365,0.147,0.095,0.074,0.057
50.0,58.5,0.0,3.905,0.361,0.145,0.094,0.074,0.056
50.0,60.5,0.0,3.582,0.351,0.144,0.094,0.074,0.056
